NDVI,TWI,Insolation,Slope,Elevation
0.2346288264,8.76933479,19,0.0992339626,336.9225769
0.2346912026,10.06167603,18.500362396,0.1023444831,336.9977417
0.2346912026,9.96541977,18.515190125,0.1023977175,336.99285889
0.2346912026,8.97516537,18.869791031,0.1023977175,336.98797607
0.2346912026,8.69718361,18.999782562,0.1023977175,336.98309326
0.3619086146,8.60874271,19,0.1023977175,336.96356201
0.3619086146,8.5993166,19,0.1023977175,336.9586792
0.3619086146,8.59029961,19,0.1023977175,336.95379639
0.3403292298,8.58158684,19,0.1023977175,336.94891357
0.3403292298,8.5731678,19,0.1023977175,336.94403076
0.3253833056,8.56547356,19,0.1023977175,336.93914795
0.2346912026,8.64971924,19,0.10241016,336.97821045
0.3372731209,8.61903954,19,0.1024678201,336.96844482
0.3372731209,8.63140488,19,0.1025006995,336.97332764
0.1695137918,8.5190134,18,0.1025519297,386.44293213
0.1203026474,8.53189278,18,0.1025519297,386.43804932
0.1203026474,8.54600525,18,0.1025519297,386.4331665
0.1203026474,8.56102943,18.005208969,0.1025519297,386.42828369
0.1203026474,8.57638931,18.245008469,0.1025519297,386.42340088
0.1203026474,8.59205818,18.484592438,0.1025519297,386.41851807
0.0809025839,8.60854816,18.494791031,0.1025519297,386.41363525
0.0809025839,8.62677193,18.5,0.1025819853,386.40875244
0.1746203899,9.09793377,18.484809875,0.1026437357,382.42773438
0.0100450292,9.15725994,18.5,0.1026437357,382.40332031
0.1354799569,9.28988552,18.5,0.1026437357,382.35449219
0.2748805285,8.14842129,18.5,0.1026757881,337.08047485
0.2748805285,8.17283916,18.5,0.1026757881,337.07559204
0.3090172112,8.19684887,18.5,0.1026757881,337.07070923
0.3090172112,8.22093582,18.5,0.1026757881,337.06582642
0.3281505704,8.24538326,18.5,0.1026757881,337.0609436
0.3281505704,8.27051735,18.5,0.1026757881,337.05606079
0.3281505704,8.29698372,18.5,0.1026757881,337.05117798
0.3281505704,8.32891464,18.5,0.1026757881,337.04629517
0.3281505704,8.37520123,18.5,0.1026757881,337.04141235
0.3433203399,8.44609261,18.5,0.1026757881,337.03652954
0.0277589709,9.31416988,18.5,0.1027039811,382.34472656
0.1433380097,9.08705425,18.129774094,0.1027100384,382.43261719
0.2346912026,10.05232525,18.51127243,0.1028897017,337.00057983
0.1048005372,9.9569416,18.738925934,0.1029595062,337.00256348
0.3253833056,8.60142136,19,0.1030582488,336.92599487
0.0277589709,9.30299664,18.499782562,0.1030896008,382.34960938
0.0277589709,9.32343006,18.499782562,0.1033385694,382.33984375
0.3253833056,8.98220444,19,0.1033761576,336.92599487
0.2346288264,8.5930624,19,0.1034135073,336.92260742
0.1695137918,8.5061388,18,0.1034182906,386.44781494
0.1147327274,8.4888401,19.102394104,0.1036109626,337.04177856
0.1048005372,9.89670849,18.948892593,0.1037285253,337.00393677
0.2346912026,10.02832794,18.579641342,0.1037995294,337.00228882
0.2748805285,8.12152481,18.5,0.1038364992,337.08535767
0.3253833056,8.56316471,19,0.1038601771,336.93426514
0.0277589709,9.33106613,18.499565125,0.1040945798,382.33496094
0.1048005372,8.65897274,18.5,0.1041113436,337.0072937
0.1147327274,8.51040649,18.5,0.1041126549,337.03488159
0.0597329587,8.58928394,18.5,0.1041126549,337.02108765
0.0597329587,8.58229542,18.5,0.1041126549,337.02108765
0.1147327274,8.52671814,18.531557083,0.1041147262,337.03488159
0.1147327274,8.53108978,18.5,0.1041172072,337.03143311
0.0597329587,8.60913277,18.5,0.1041172072,337.01763916
0.0597329587,8.5992136,18.5,0.1041172072,337.01763916
0.3253833056,9.05390358,19,0.1041172072,336.93634033
0.3253833056,9.98034477,19,0.1041172072,336.93634033
0.1147327274,8.54339218,18.5252285,0.1041173115,337.03143311
0.2346912026,10.20762062,18.505533218,0.1041425094,336.99575806
0.3253833056,8.64413357,19,0.1041428372,336.92944336
0.3253833056,9.26461315,19,0.104183726,336.92944336
0.1048005372,8.65265751,18.5,0.1041899622,337.00384521
0.1147327274,8.50810814,18.54114151,0.1041937769,337.03833008
0.2346912026,9.90226746,18.500217438,0.1041983813,336.99575806
0.2346912026,8.99583912,18.630208969,0.1041983813,336.99087524
0.2346912026,10.24188042,18.75,0.1041983813,336.99087524
0.2346912026,8.6746006,18.984809875,0.1041983813,336.98599243
0.2346912026,9.42789555,18.994791031,0.1041983813,336.98599243
0.3619086146,8.59765816,19,0.1041983813,336.96157837
0.3619086146,8.59004307,19,0.1041983813,336.95669556
0.3619086146,8.60514736,19,0.1041983813,336.95669556
0.3619086146,8.58235645,19,0.1041983813,336.95181274
