NDVI,TWI,Insolation,Slope,Elevation
0.3617126346,8.76933479,14,0.0992339626,336.9225769
0.3178694546,8.46980381,14,0.1019402072,337.04522705
0.2794550359,10.06167603,14,0.1023444831,336.9977417
0.2794550359,9.96541977,13.989800453,0.1023977175,336.99285889
0.3083428443,8.97516537,13.635199547,0.1023977175,336.98797607
0.3083428443,8.69718361,13.500433922,0.1023977175,336.98309326
0.3939867616,8.60874271,13.989583015,0.1023977175,336.96356201
0.3939867616,8.5993166,13.999782562,0.1023977175,336.9586792
0.3977575302,8.59029961,14,0.1023977175,336.95379639
0.3977575302,8.58158684,14,0.1023977175,336.94891357
0.3977575302,8.5731678,14,0.1023977175,336.94403076
0.3811106682,8.56547356,14,0.1023977175,336.93914795
0.3641557694,8.64971924,13.500217438,0.10241016,336.97821045
0.3641557694,8.61903954,13.75,0.1024678201,336.96844482
0.3641557694,8.63140488,13.510416985,0.1025006995,336.97332764
0.4313955605,8.5190134,13.5,0.1025519297,386.44293213
0.373246938,8.53189278,13.5,0.1025519297,386.43804932
0.3667683303,8.54600525,13.5,0.1025519297,386.4331665
0.3667683303,8.56102943,13.5,0.1025519297,386.42828369
0.3667683303,8.57638931,13.5,0.1025519297,386.42340088
0.3667683303,8.59205818,13.505208015,0.1025519297,386.41851807
0.2249507159,8.60854816,13.52018261,0.1025519297,386.41363525
0.2777559459,8.62677193,13.869574547,0.1025819853,386.40875244
0.3670460582,9.09793377,12.984592438,0.1026437357,382.42773438
0.2704975009,9.10877228,13,0.1026437357,382.42285156
0.2704975009,9.12038231,13,0.1026437357,382.41796875
0.2704975009,9.13243866,13,0.1026437357,382.41308594
0.2704975009,9.14476204,13,0.1026437357,382.40820312
0.2300374657,9.15725994,13,0.1026437357,382.40332031
0.1105360165,9.16987991,13,0.1026437357,382.3984375
0.1105360165,9.18259525,13,0.1026437357,382.39355469
0.1105360165,9.19538498,13,0.1026437357,382.38867188
0.1105360165,9.20826912,13,0.1026437357,382.38378906
0.0282296892,9.2213068,13,0.1026437357,382.37890625
0.2442338318,8.14842129,14,0.1026757881,337.08047485
0.2442338318,8.17283916,14,0.1026757881,337.07559204
0.2306952179,8.19684887,14,0.1026757881,337.07070923
0.2544207573,8.22093582,14,0.1026757881,337.06582642
0.2544207573,8.24538326,14,0.1026757881,337.0609436
0.2544207573,8.27051735,14,0.1026757881,337.05606079
0.2544207573,8.29698372,14,0.1026757881,337.05117798
0.2774653435,8.32891464,14,0.1026757881,337.04629517
0.2997770906,8.37520123,14,0.1026757881,337.04141235
0.2997770906,8.44609261,14,0.1026757881,337.03652954
0.3882992864,9.08705425,12.630208015,0.1027100384,382.43261719
0.2794550359,10.05232525,14,0.1028897017,337.00057983
0.2794550359,9.9569416,14,0.1029595062,337.00256348
0.3550043106,8.60142136,14,0.1030582488,336.92599487
0.3617126346,8.98220444,14,0.1033761576,336.92599487
0.3550043106,8.5930624,14,0.1034135073,336.92260742
0.4313955605,8.5061388,13.5,0.1034182906,386.44781494
0.3178694546,8.4888401,14,0.1036109626,337.04177856
0.2794550359,9.89670849,14,0.1037285253,337.00393677
0.2794550359,10.02832794,14,0.1037995294,337.00228882
0.2442338318,8.12152481,14,0.1038364992,337.08535767
0.3811106682,8.56316471,14,0.1038601697,336.93426514
0.3178694546,8.44855404,14,0.1040242389,337.04522705
0.3217905164,8.42921066,14,0.1040341482,337.04867554
0.2880238295,8.65897274,14,0.1041113436,337.0072937
0.3178694546,8.51040649,14,0.1041126549,337.03488159
0.3004609644,8.58928394,14,0.1041126549,337.02108765
0.3004609644,8.58229542,14,0.1041126549,337.02108765
0.3178694546,8.52671814,14,0.1041147262,337.03488159
0.3178694546,8.53108978,14,0.1041172072,337.03143311
0.3004609644,8.60913277,14,0.1041172072,337.01763916
0.3004609644,8.5992136,14,0.1041172072,337.01763916
0.3811106682,9.05390358,14,0.1041172072,336.93634033
0.3911692798,9.98034477,14,0.1041172072,336.93634033
0.3178694546,8.54339218,14,0.1041173115,337.03143311
0.2794550359,10.20762062,13.999782562,0.1041425094,336.99575806
0.3811106682,8.64413357,14,0.1041428372,336.92944336
0.3911692798,9.26461315,14,0.104183726,336.92944336
0.2880238295,8.65265751,13.999782562,0.1041899622,337.00384521
0.3178694546,8.50810814,14,0.1041937769,337.03833008
0.3083428443,9.42789555,13.520399094,0.1041983739,336.98599243
0.3977575302,8.60514736,14,0.1041983739,336.95669556
0.3977575302,8.59356022,14,0.1041983739,336.95181274
0.3977575302,8.58343124,14,0.1041983739,336.94692993
0.2794550359,9.90226746,13.999782562,0.1041983813,336.99575806
0.3083428443,8.99583912,13.865016937,0.1041983813,336.99087524
0.2794550359,10.24188042,13.870008469,0.1041983813,336.99087524
0.3083428443,8.6746006,13.510199547,0.1041983813,336.98599243
0.3939867616,8.59765816,13.984592438,0.1041983813,336.96157837
0.3939867616,8.59004307,13.994791985,0.1041983813,336.95669556
0.3977575302,8.58235645,14,0.1041983813,336.95181274
0.3977575302,8.574687,14,0.1041983813,336.94692993
0.3811106682,8.56702709,14,0.1041983813,336.94204712
0.3811106682,8.56033707,14,0.1041983813,336.93716431
0.3178694546,8.46834183,14,0.104200542,337.04177856
0.2880238295,8.62241745,14,0.1042025611,337.0072937
0.3939867616,8.61888313,14,0.1042089164,336.96157837
0.3977575302,8.57468891,14,0.1042120382,336.94204712
0.27718243,9.43744373,13.994791985,0.1042125523,337.06906128
0.2880238295,8.62022209,14,0.1042193398,337.01074219
0.3178694546,8.48905277,14,0.1042208597,337.03833008
0.3641557694,8.84867859,13.510199547,0.104221113,336.98110962
0.3004609644,8.57236195,14,0.1042218581,337.02453613
0.3004609644,8.56632328,14,0.1042218581,337.02453613
0.2880238295,8.64985657,14,0.1042218581,337.01074219
0.2794550359,10.00302887,14,0.1042246744,337.00064087
0.3811106682,8.77324295,14,0.1042247862,336.93289185
0.3911692798,9.63785172,14,0.1042256355,336.93289185
0.3004609644,8.55781078,14,0.1042264104,337.02798462
0.3004609644,8.54994202,14,0.1042264104,337.02798462
0.3004609644,8.6303606,14,0.1042264104,337.01419067
0.3004609644,8.61474991,14,0.1042264104,337.01419067
0.3641557694,8.63649845,13.989583015,0.1042806506,336.96646118
0.3811106682,8.56218719,14,0.1043475792,336.93228149
0.4313955605,8.47573757,13.5,0.1043619439,386.4458313
0.373246938,8.49537945,13.5,0.1043619439,386.44094849
0.373246938,8.51523876,13.5,0.1043619439,386.43606567
0.3667683303,8.53549576,13.5,0.1043619439,386.43118286
0.3667683303,8.55610561,13.5,0.1043619439,386.42630005
0.3667683303,8.57681465,13.509983063,0.1043619439,386.42141724
0.2249507159,8.59741783,13.625,0.1043619439,386.41653442
0.2249507159,8.61786842,13.749782562,0.1043619439,386.41165161
0.2777559459,8.63831997,13.979383469,0.1043619439,386.4067688
0.3670460582,9.13324928,12.745008469,0.1043804586,382.43063354
0.3670460582,9.13887119,12.989583015,0.1043804586,382.42575073
0.2704975009,9.14535809,12.999782562,0.1043804586,382.42086792
0.2704975009,9.15375805,12.999782562,0.1043804586,382.41598511
0.2704975009,9.16347218,13,0.1043804586,382.41110229
0.2300374657,9.1741066,13,0.1043804586,382.40621948
0.2300374657,9.18540096,13,0.1043804586,382.40133667
0.1105360165,9.19717407,13,0.1043804586,382.39645386
0.1105360165,9.20928764,13,0.1043804586,382.39157104
0.1105360165,9.2216444,13,0.1043804586,382.38668823
0.0282296892,9.23425198,13,0.1043804586,382.38180542
0.0282296892,9.24713898,13,0.1043804586,382.37692261
0.4313955605,8.54848862,13.5,0.1043820679,386.44094849
0.3667683303,8.55888081,13.5,0.1043820679,386.43606567
0.3667683303,8.56926918,13.5,0.1043820679,386.43118286
0.3667683303,8.57979774,13.5,0.1043820679,386.42630005
0.3667683303,8.59106541,13.5,0.1043820679,386.42141724
0.3667683303,8.60430717,13.500433922,0.1043820679,386.41653442
0.4313955605,8.4563942,13.499782562,0.1043923274,386.45071411
0.2442338318,8.1470871,14,0.104410857,337.07849121
0.2442338318,8.15426826,14,0.104410857,337.08337402
0.2306952179,8.17064285,14,0.104410857,337.0736084
0.2442338318,8.18055248,14,0.104410857,337.07849121
0.2306952179,8.19382381,14,0.104410857,337.06872559
0.2442338318,8.20658398,14,0.104410857,337.0736084
0.2544207573,8.21728039,14,0.104410857,337.06384277
0.2544207573,8.23264885,14,0.104410857,337.06872559
0.2544207573,8.24114037,14,0.104410857,337.05895996
0.2544207573,8.25915241,14,0.104410857,337.06384277
