NDVI,TWI,Insolation,Slope,Elevation
0.3928998709,8.76933479,14,0.0992339626,336.9225769
0.3254847527,10.06167603,14,0.1023444831,336.9977417
0.3254847527,9.96541977,14,0.1023977175,336.99285889
0.3254847527,8.97516537,13.989800453,0.1023977175,336.98797607
0.3254847527,8.69718361,13.749999046,0.1023977175,336.98309326
0.4788937271,8.60874271,13.989583015,0.1023977175,336.96356201
0.4788937271,8.5993166,14,0.1023977175,336.9586792
0.4788937271,8.59029961,14,0.1023977175,336.95379639
0.4546165764,8.58158684,14,0.1023977175,336.94891357
0.4546165764,8.5731678,14,0.1023977175,336.94403076
0.4293125868,8.56547356,14,0.1023977175,336.93914795
0.3254847527,8.64971924,13.520399094,0.10241016,336.97821045
0.4268292785,8.61903954,13.754991531,0.1024678201,336.96844482
0.4268292785,8.63140488,13.630208015,0.1025006995,336.97332764
0.3735046387,8.5190134,13.5,0.1025519297,386.44293213
0.3164277971,8.53189278,13.5,0.1025519297,386.43804932
0.3164277971,8.54600525,13.5,0.1025519297,386.4331665
0.3164277971,8.56102943,13.5,0.1025519297,386.42828369
0.3164277971,8.57638931,13.510199547,0.1025519297,386.42340088
0.3164277971,8.59205818,13.630208015,0.1025519297,386.41851807
0.1651006639,8.60854816,13.754991531,0.1025519297,386.41363525
0.1651006639,8.62677193,13.989800453,0.1025819853,386.40875244
0.4026465118,9.09793377,12.989800453,0.1026437357,382.42773438
0.1133004949,9.10877228,13,0.1026437357,382.42285156
0.1133004949,9.12038231,13,0.1026437357,382.41796875
0.1133004949,9.13243866,13,0.1026437357,382.41308594
0.1133004949,9.14476204,13,0.1026437357,382.40820312
0.0960912034,9.15725994,13,0.1026437357,382.40332031
0.0483351238,9.28988552,13.5,0.1026437357,382.35449219
0.3333333433,8.14842129,14,0.1026757881,337.08047485
0.3333333433,8.17283916,14,0.1026757881,337.07559204
0.3540328443,8.19684887,14,0.1026757881,337.07070923
0.3540328443,8.22093582,14,0.1026757881,337.06582642
0.37462461,8.24538326,14,0.1026757881,337.0609436
0.37462461,8.27051735,14,0.1026757881,337.05606079
0.37462461,8.29698372,14,0.1026757881,337.05117798
0.37462461,8.32891464,14,0.1026757881,337.04629517
0.37462461,8.37520123,14,0.1026757881,337.04141235
0.4044375122,8.44609261,14,0.1026757881,337.03652954
0.4794520438,9.08705425,12.745008469,0.1027100384,382.43261719
0.3254847527,10.05232525,14,0.1028897017,337.00057983
0.2580128312,9.9569416,14,0.1029595062,337.00256348
0.4293125868,8.60142136,14,0.1030582488,336.92599487
0.4293125868,8.98220444,14,0.1033761576,336.92599487
0.3928998709,8.5930624,14,0.1034135073,336.92260742
0.3735046387,8.5061388,13.5,0.1034182906,386.44781494
0.3956978619,8.4888401,14,0.1036109626,337.04177856
0.2580128312,9.89670849,14,0.1037285253,337.00393677
0.3254847527,10.02832794,14,0.1037995294,337.00228882
0.3333333433,8.12152481,14,0.1038364992,337.08535767
0.4293125868,8.56316471,14,0.1038601697,336.93426514
0.2580128312,8.65897274,14,0.1041113436,337.0072937
0.3956978619,8.51040649,14,0.1041126549,337.03488159
0.3407202363,8.58928394,14,0.1041126549,337.02108765
0.3407202363,8.58229542,14,0.1041126549,337.02108765
0.3956978619,8.52671814,14,0.1041147262,337.03488159
0.3956978619,8.53108978,14,0.1041172072,337.03143311
0.3407202363,8.60913277,14,0.1041172072,337.01763916
0.3407202363,8.5992136,14,0.1041172072,337.01763916
0.4293125868,9.05390358,14,0.1041172072,336.93634033
0.4293125868,9.98034477,14,0.1041172072,336.93634033
0.3956978619,8.54339218,14,0.1041173115,337.03143311
0.3254847527,10.20762062,14,0.1041425094,336.99575806
0.4293125868,8.64413357,14,0.1041428372,336.92944336
0.4293125868,9.26461315,14,0.104183726,336.92944336
0.2580128312,8.65265751,14,0.1041899622,337.00384521
0.3956978619,8.50810814,14,0.1041937769,337.03833008
0.3254847527,9.42789555,13.989583015,0.1041983739,336.98599243
0.4788937271,8.60514736,14,0.1041983739,336.95669556
0.4546165764,8.59356022,14,0.1041983739,336.95181274
0.4546165764,8.58343124,14,0.1041983739,336.94692993
0.3254847527,9.90226746,14,0.1041983813,336.99575806
0.3254847527,8.99583912,13.994791985,0.1041983813,336.99087524
0.3254847527,10.24188042,14,0.1041983813,336.99087524
0.3254847527,8.6746006,13.754990578,0.1041983813,336.98599243
0.4788937271,8.59765816,13.989583015,0.1041983813,336.96157837
0.4788937271,8.59004307,13.999782562,0.1041983813,336.95669556
