NDVI,TWI,Insolation,Slope,Elevation
0.1451333612,3.87911963,11.949625015,3.3720500469,474.96670532
0.1451333612,3.97352195,11.944484711,2.9078214169,474.94281006
0.1451333612,4.09021902,11.953607559,2.5476901531,474.91955566
0.1451333612,4.32690287,11.939224243,2.5920834541,474.90151978
0.1451333612,4.34175205,11.744122505,3.1611194611,474.89318848
0.1235085428,3.79091883,11.542734146,4.1132926941,474.87741089
0.1235085428,3.11933732,11.486496925,4.841673851,474.81463623
0.1235085428,2.59808922,11.369791985,5.1709470749,474.73562622
0.1235085428,2.26577258,11.254774094,5.4856982231,474.67584229
0.1235085428,2.07927608,11.244791985,5.7722158432,474.60333252
0.1093702912,1.99256968,11.239800453,6.0438141823,474.50610352
0.1093702912,2.00000501,11.236255646,6.2872071266,474.38693237
0.1093702912,2.02852774,11.154610634,6.7477517128,474.25128174
0.1093702912,2.04811001,10.955970764,7.5671520233,474.10455322
0.1093702912,2.04113817,10.728475571,8.4759368896,473.94650269
0.1451333612,3.74690914,11.847716331,3.882361412,474.96624756
0.1451333612,3.92156076,11.884428024,3.4974212646,474.91000366
0.1451333612,4.07192087,11.828932762,3.1762332916,474.85852051
0.1451333612,4.12335873,11.746311188,3.3392493725,474.81970215
0.1451333612,3.96860337,11.614800453,3.9663743973,474.79196167
0.1235085428,3.44761848,11.376591682,5.1509084702,474.75280762
0.1235085428,2.93186235,11.244864464,6.5233860016,474.64883423
0.1235085428,2.66152501,11.120008469,7.18968153,474.53216553
0.1235085428,2.46010804,11,7.4107398987,474.45983887
0.1235085428,2.26811552,10.880208015,7.6464233398,474.38540649
0.1093702912,2.19734001,10.765407562,7.8561358452,474.28979492
0.1093702912,2.18864179,10.760272026,8.0344581604,474.17346191
0.1093702912,2.20703959,10.753544807,8.2212743759,474.03982544
0.1093702912,2.23525,10.670235634,8.6665258408,473.89230347
0.1093702912,2.31713939,10.550757408,9.2822360992,473.73400879
0.1451333612,3.61258888,11.752170563,4.1957392693,474.91809082
0.1451333612,3.86525941,11.688367844,4.2041959763,474.82849121
0.1451333612,4.08129835,11.625831604,4.3492016792,474.74996948
0.1451333612,4.12662935,11.504919052,4.8234653473,474.68515015
0.1451333612,3.89639044,11.370008469,5.5209050179,474.63287354
0.1235085428,3.42029667,11.125217438,6.8961453438,474.56637573
0.1235085428,3.00043297,10.885199547,8.3861579895,474.41992188
0.1235085428,2.8979969,10.760199547,8.8998908997,474.26489258
0.1235085428,2.7053318,10.745225906,8.9654874802,474.17776489
0.1235085428,2.46825361,10.630208015,9.1526203156,474.09927368
0.1093702912,2.35563231,10.515407562,9.3056755066,474.0038147
0.1093702912,2.32830763,10.510416985,9.4186458588,473.88949585
0.1093702912,2.33901954,10.510272026,9.5273456573,473.7578125
0.1093702912,2.38412333,10.506872177,9.6805515289,473.61068726
0.1093702912,2.59752917,10.501880646,9.7700386047,473.45147705
0.1451333612,3.58377695,11.633752823,4.7307667732,474.82394409
0.1451333612,3.86426663,11.512804031,5.1346330643,474.70410156
0.1451333612,4.14659119,11.499891281,5.4940743446,474.59634399
0.1451333612,4.28582382,11.370225906,5.8491191864,474.50704956
0.1451333612,4.02610302,11.129991531,6.5170893669,474.43127441
0.1235085428,3.48480082,10.880208015,8.0702409744,474.33520508
0.1235085428,3.15859556,10.635633469,9.6292037964,474.14758301
0.1235085428,3.141047,10.515407562,9.9033470154,473.95602417
0.1235085428,2.94797564,10.510199547,9.7546920776,473.85290527
0.1235085428,2.67595768,10.505208015,9.8566017151,473.76977539
0.1093702912,2.51956367,10.500217438,9.9078550339,473.67532349
0.1093702912,2.46659946,10.5,9.8903627396,473.56488037
0.1093702912,2.46999621,10.5,9.8588485718,473.43759155
0.1093702912,2.54546475,10.5,9.8644971848,473.29379272
0.1093702912,2.86459756,10.5,9.8317260742,473.13632202
0.1451333612,3.68462157,11.629919052,5.413105011,474.71099854
0.1451333612,3.92024851,11.5,5.7890563011,474.55856323
0.1451333612,4.20490026,11.479600906,6.0713605881,474.42120361
0.1451333612,4.32668447,11.244574547,6.4384436607,474.31454468
0.1451333612,4.13762665,10.994791985,7.2896375656,474.22055054
0.1235085428,3.73263979,10.744791985,9.0743970871,474.09237671
0.1235085428,3.44514441,10.505208015,10.644251823,473.86462402
0.1235085428,3.40738916,10.495008469,10.623231888,473.63845825
0.1235085428,3.20288515,10.499782562,10.209540367,473.51837158
0.1235085428,2.88888693,10.5,10.198057175,473.431427
0.1093702912,2.68022203,10.5,10.146197319,473.34124756
