NDVI,TWI,Insolation,Slope,Elevation
0.5037974715,8.76933479,19,0.0992339626,336.9225769
0.272307694,10.06167603,18.500362396,0.1023444831,336.9977417
0.272307694,9.96541977,18.5102005,0.1023977175,336.99285889
0.4450867176,8.97516537,18.864801407,0.1023977175,336.98797607
0.4450867176,8.69718361,18.999782562,0.1023977175,336.98309326
0.5031250119,8.60874271,19,0.1023977175,336.96356201
0.5031250119,8.5993166,19,0.1023977175,336.9586792
0.5031250119,8.59029961,19,0.1023977175,336.95379639
0.4935483932,8.58158684,19,0.1023977175,336.94891357
0.4935483932,8.5731678,19,0.1023977175,336.94403076
0.5294117928,8.56547356,19,0.1023977175,336.93914795
0.4450867176,8.64971924,19,0.10241016,336.97821045
0.4805389345,8.61903954,19,0.1024678201,336.96844482
0.4805389345,8.63140488,19,0.1025006995,336.97332764
0.4447702766,8.5190134,18,0.1025519296,386.44293213
0.3606823683,8.53189278,18,0.1025519296,386.43804932
0.3606823683,8.54600525,18,0.1025519296,386.4331665
0.3606823683,8.56102943,18,0.1025519296,386.42828369
0.3606823683,8.57638931,18.010416031,0.1025519296,386.42340088
0.3606823683,8.59205818,18.25,0.1025519296,386.41851807
0.2117981464,8.60854816,18.489583969,0.1025519296,386.41363525
0.2117981464,8.62677193,18.5,0.1025819853,386.40875244
0.154838711,9.09793377,18.370008469,0.1026437357,382.42773438
0.1468760222,9.10877228,18.499782562,0.1026437357,382.42285156
0.1468760222,9.12038231,18.5,0.1026437357,382.41796875
0.1468760222,9.13243866,18.5,0.1026437357,382.41308594
0.1468760222,9.14476204,18.5,0.1026437357,382.40820312
0.0220306516,9.15725994,18.5,0.1026437357,382.40332031
0.3519352078,8.14842129,18.5,0.1026757881,337.08047485
0.3519352078,8.17283916,18.5,0.1026757881,337.07559204
0.3561724722,8.19684887,18.5,0.1026757881,337.07070923
0.3561724722,8.22093582,18.5,0.1026757881,337.06582642
0.389447242,8.24538326,18.5,0.1026757881,337.0609436
0.389447242,8.27051735,18.5,0.1026757881,337.05606079
0.389447242,8.29698372,18.5,0.1026757881,337.05117798
0.423822701,8.32891464,18.5,0.1026757881,337.04629517
0.423822701,8.37520123,18.5,0.1026757881,337.04141235
0.4497059882,8.44609261,18.5,0.1026757881,337.03652954
0.0558848418,9.31416988,18.5,0.1027039811,382.34472656
0.2359788418,9.08705425,18.014974594,0.1027100384,382.43261719
