NDVI,TWI,Insolation,Slope,Elevation
0.0961997882,8.76933479,17.5,0.0992339626,336.9225769
0.0183548667,10.06167603,17,0.1023444831,336.9977417
0.0183548667,9.96541977,17,0.1023977175,336.99285889
0.0183548667,8.97516537,17,0.1023977175,336.98797607
0.0183548667,8.69718361,17,0.1023977175,336.98309326
0.0888666809,8.56547356,17.3647995,0.1023977175,336.93914795
0.1162377819,8.60874271,17,0.1023977175,336.96356201
0.1162377819,8.5993166,17,0.1023977175,336.9586792
0.1162377819,8.59029961,17,0.1023977175,336.95379639
0.1299954206,8.58158684,17,0.1023977175,336.94891357
0.1299954206,8.5731678,17.0102005,0.1023977175,336.94403076
0.0183548667,8.64971924,17,0.10241016,336.97821045
0.0967125446,8.61903954,17,0.1024678201,336.96844482
0.0967125446,8.63140488,17,0.1025006995,336.97332764
0.0259380769,8.53189278,16,0.1025519297,386.43804932
0.0259380769,8.54600525,16,0.1025519297,386.4331665
0.0259380769,8.56102943,16,0.1025519297,386.42828369
0.0259380769,8.57638931,16.015190125,0.1025519297,386.42340088
0.0259380769,8.59205818,16.370008469,0.1025519297,386.41851807
0.0738319904,8.5190134,16,0.1025519297,386.44293213
0.0054327804,9.09793377,16.129991531,0.1026437357,382.42773438
0.0833508,8.14842129,17,0.1026757881,337.08047485
0.0833508,8.17283916,17,0.1026757881,337.07559204
0.102172479,8.24538326,17,0.1026757881,337.0609436
0.102172479,8.27051735,17,0.1026757881,337.05606079
0.102172479,8.29698372,17,0.1026757881,337.05117798
0.102172479,8.32891464,17,0.1026757881,337.04629517
0.102172479,8.37520123,17,0.1026757881,337.04141235
0.1051212847,8.19684887,17,0.1026757881,337.07070923
0.1051212847,8.22093582,17,0.1026757881,337.06582642
0.1058975756,8.44609261,17,0.1026757881,337.03652954
0.0186802428,9.08705425,15.990016937,0.1027100384,382.43261719
0.0183548667,10.05232525,17,0.1028897017,337.00057983
0.0888666809,8.60142136,17.5,0.1030582488,336.92599487
0.0888666809,8.98220444,17.5,0.1033761576,336.92599487
0.0961997882,8.5930624,17.5,0.1034135073,336.92260742
0.0738319904,8.5061388,16,0.1034182906,386.44781494
0.0346581563,8.4888401,16.750831604,0.1036109626,337.04177856
0.0183548667,10.02832794,17,0.1037995294,337.00228882
0.0833508,8.12152481,17,0.1038364992,337.08535767
0.0888666809,8.56316471,17.499782562,0.1038601771,336.93426514
0.0346581563,8.51040649,17,0.1041126549,337.03488159
0.0346581563,8.52671814,16.999927521,0.1041147262,337.03488159
0.0346581563,8.53108978,17,0.1041172072,337.03143311
0.0888666809,9.05390358,17.494791031,0.1041172072,336.93634033
0.0888666809,9.98034477,17.499782562,0.1041172072,336.93634033
0.0346581563,8.54339218,17,0.1041173115,337.03143311
0.0183548667,10.20762062,17,0.1041425094,336.99575806
0.0888666809,8.64413357,17.5,0.1041428372,336.92944336
0.0888666809,9.26461315,17.5,0.104183726,336.92944336
0.0346581563,8.50810814,16.988027573,0.1041937769,337.03833008
0.0183548667,9.90226746,17,0.1041983813,336.99575806
0.0183548667,8.99583912,17,0.1041983813,336.99087524
0.0183548667,10.24188042,17,0.1041983813,336.99087524
0.0183548667,8.6746006,17,0.1041983813,336.98599243
0.0183548667,9.42789555,17,0.1041983813,336.98599243
0.0888666809,8.56702709,17.129991531,0.1041983813,336.94204712
0.0888666809,8.56033707,17.484809875,0.1041983813,336.93716431
0.1162377819,8.59765816,17,0.1041983813,336.96157837
0.1162377819,8.59004307,17,0.1041983813,336.95669556
0.1162377819,8.60514736,17,0.1041983813,336.95669556
0.1162377819,8.58235645,17,0.1041983813,336.95181274
0.1299954206,8.59356022,17,0.1041983813,336.95181274
0.1299954206,8.574687,17.000217438,0.1041983813,336.94692993
0.1299954206,8.58343124,17.000217438,0.1041983813,336.94692993
0.0346581563,8.46834183,16.754991531,0.104200542,337.04177856
0.1162377819,8.61888313,17,0.1042089164,336.96157837
0.1299954206,8.57468891,17.1352005,0.1042120457,336.94204712
0.0714727193,9.43744373,17,0.1042125523,337.06906128
0.0346581563,8.48905277,16.9897995,0.1042208597,337.03833008
0.0183548667,8.84867859,17,0.104221113,336.98110962
0.0888666809,8.77324295,17.5,0.1042247862,336.93289185
0.0888666809,9.63785172,17.5,0.1042256355,336.93289185
0.0346581563,8.55781078,17,0.1042264104,337.02798462
0.0346581563,8.54994202,17,0.1042264104,337.02798462
0.0967125446,8.63649845,17,0.1042806506,336.96646118
0.0888666809,8.56218719,17.5,0.1043475792,336.93228149
0.0259380769,8.51523876,16,0.1043619439,386.43606567
0.0259380769,8.53549576,16,0.1043619439,386.43118286
0.0259380769,8.55610561,16.000217438,0.1043619439,386.42630005
0.0259380769,8.57681465,16.135416031,0.1043619439,386.42141724
0.0738319904,8.47573757,16,0.1043619439,386.4458313
0.0054327804,9.13324928,16.009983063,0.1043804511,382.43063354
0.0054327804,9.13887119,16.3647995,0.1043804511,382.42575073
0.0259380769,8.55888081,16,0.1043820679,386.43606567
0.0259380769,8.56926918,16,0.1043820679,386.43118286
0.0259380769,8.57979774,16.005208969,0.1043820679,386.42630005
0.0259380769,8.59106541,16.249782562,0.1043820679,386.42141724
0.0259380769,8.60430717,16.494791031,0.1043820679,386.41653442
0.1202125251,8.54848862,16,0.1043820679,386.44094849
0.0738319904,8.4563942,16,0.1043923274,386.45071411
0.0833508,8.1470871,17,0.104410857,337.07849121
0.0833508,8.15426826,17,0.104410857,337.08337402
0.0833508,8.18055248,17,0.104410857,337.07849121
0.0833508,8.20658398,17,0.104410857,337.0736084
0.102172479,8.24114037,17,0.104410857,337.05895996
0.102172479,8.25915241,17,0.104410857,337.06384277
0.102172479,8.26558304,17,0.104410857,337.05407715
0.102172479,8.28659725,17,0.104410857,337.05895996
0.102172479,8.29095268,17,0.104410857,337.04919434
0.102172479,8.31574059,17,0.104410857,337.05407715
0.102172479,8.31919765,17,0.104410857,337.04431152
0.102172479,8.35214615,17,0.104410857,337.04919434
0.102172479,8.35519886,17,0.104410857,337.03942871
0.102172479,8.41664219,17,0.104410857,337.04431152
0.1051212847,8.17064285,17,0.104410857,337.0736084
0.1051212847,8.19382381,17,0.104410857,337.06872559
0.1051212847,8.21728039,17,0.104410857,337.06384277
0.1051212847,8.23264885,17,0.104410857,337.06872559
0.1058975756,8.40643692,17,0.104410857,337.0345459
0.1058975756,8.51349163,17,0.104410857,337.03942871
0.0833508,8.12723541,17,0.104451716,337.08825684
0.0967125446,8.71184635,17,0.1044739261,336.97622681
0.0714727193,9.44462299,17,0.1044753045,337.07250977
0.0967125446,8.66252518,17,0.1044943854,336.97134399
0.0186802428,9.07296085,16.004991531,0.104521364,382.43063354
0.0183548667,8.64022923,17,0.1045418456,336.98110962
0.0272743888,9.39388657,17,0.104554005,382.29165649
0.0137268128,9.40363503,16.999132156,0.1045719385,382.29879761
0.0272743888,9.37714958,17,0.1046186537,382.29510498
0.0137268128,9.39193821,17,0.1049323082,382.30368042
0.0183548667,10.26713467,17,0.1056171656,337.00100708
0.0183548667,10.25217915,17,0.105705902,336.99911499
0.0888666809,8.57566452,17.5,0.1057356298,336.92739868
0.1058975756,8.49737263,17,0.1057427824,337.02966309
0.0137268128,9.41399193,16.984157562,0.1059756801,382.29391479
0.1162377819,8.60403347,17,0.1060251594,336.96646118
0.0714727193,9.43215656,17,0.106724441,337.06561279
0.0186802428,9.05860233,15.865016937,0.1067264378,382.43551636
0.0097720092,9.14322376,16.500217438,0.1067887768,382.33792114
0.0888666809,8.57218266,17.5,0.106873773,336.93081665
0.0346581563,8.5456295,16.770088196,0.1069907993,337.04312134
0.0833508,8.14863968,17,0.1070244908,337.0916748
0.0833508,8.17819309,17,0.1070244908,337.08679199
0.0833508,8.20847988,17,0.1070244908,337.08190918
