NDVI,TWI,Insolation,Slope,Elevation
0.214923799,8.76933479,18,0.0992339626,336.9225769
0.0490730628,10.06167603,17.5,0.1023444831,336.9977417
0.0490730628,9.96541977,17.5,0.1023977175,336.99285889
0.0490730628,8.97516537,17.5,0.1023977175,336.98797607
0.0490730628,8.69718361,17.5,0.1023977175,336.98309326
0.1746905148,8.56547356,18,0.1023977175,336.93914795
0.263577491,8.58158684,17.999782562,0.1023977175,336.94891357
0.263577491,8.5731678,18,0.1023977175,336.94403076
0.303780973,8.60874271,17.5,0.1023977175,336.96356201
0.303780973,8.5993166,17.5102005,0.1023977175,336.9586792
0.303780973,8.59029961,17.865016937,0.1023977175,336.95379639
0.0490730628,8.64971924,17.5,0.10241016,336.97821045
0.296990335,8.61903954,17.5,0.1024678201,336.96844482
0.296990335,8.63140488,17.5,0.1025006995,336.97332764
0.078328982,8.60854816,17,0.1025519297,386.41363525
0.2047293037,8.53189278,16.75,0.1025519297,386.43804932
0.2047293037,8.54600525,16.989583969,0.1025519297,386.4331665
0.2047293037,8.56102943,17,0.1025519297,386.42828369
0.2047293037,8.57638931,17,0.1025519297,386.42340088
0.2047293037,8.59205818,17,0.1025519297,386.41851807
0.2860892415,8.5190134,16.5102005,0.1025519297,386.44293213
0.078328982,8.62677193,17,0.1025819853,386.40875244
0.0842975229,9.09793377,16.9897995,0.1026437357,382.42773438
0.1466213316,8.14842129,17.5,0.1026757881,337.08047485
0.1466213316,8.17283916,17.5,0.1026757881,337.07559204
0.1890547276,8.19684887,17.5,0.1026757881,337.07070923
0.1890547276,8.22093582,17.5,0.1026757881,337.06582642
0.2098092586,8.24538326,17.5,0.1026757881,337.0609436
0.2098092586,8.27051735,17.5,0.1026757881,337.05606079
0.2098092586,8.29698372,17.5,0.1026757881,337.05117798
0.2098092586,8.32891464,17.5,0.1026757881,337.04629517
0.2098092586,8.37520123,17.5,0.1026757881,337.04141235
0.2319290489,8.44609261,17.5,0.1026757881,337.03652954
0.1347222179,9.08705425,16.634765625,0.1027100384,382.43261719
0.0490730628,10.05232525,17.5,0.1028897017,337.00057983
0.1746905148,8.60142136,18,0.1030582488,336.92599487
0.1746905148,8.98220444,18,0.1033761576,336.92599487
0.214923799,8.5930624,18,0.1034135073,336.92260742
0.2860892415,8.5061388,16.5,0.1034182906,386.44781494
0.0973751023,8.4888401,17.492513657,0.1036109626,337.04177856
0.0490730628,10.02832794,17.5,0.1037995294,337.00228882
0.1466213316,8.12152481,17.5,0.1038364992,337.08535767
0.1746905148,8.56316471,18,0.1038601697,336.93426514
0.0973751023,8.51040649,17.5,0.1041126549,337.03488159
0.0973751023,8.52671814,17.5,0.1041147262,337.03488159
0.0973751023,8.53108978,17.5,0.1041172072,337.03143311
0.1746905148,9.05390358,18,0.1041172072,336.93634033
0.1746905148,9.98034477,18,0.1041172072,336.93634033
0.0973751023,8.54339218,17.5,0.1041173115,337.03143311
0.0490730628,10.20762062,17.5,0.1041425094,336.99575806
0.1746905148,8.64413357,18,0.1041428372,336.92944336
0.1746905148,9.26461315,18,0.104183726,336.92944336
0.0973751023,8.50810814,17.5,0.1041937769,337.03833008
0.0490730628,9.42789555,17.5,0.1041983739,336.98599243
0.263577491,8.59356022,17.9897995,0.1041983739,336.95181274
0.263577491,8.58343124,18,0.1041983739,336.94692993
0.303780973,8.60514736,17.6352005,0.1041983739,336.95669556
0.0490730628,9.90226746,17.5,0.1041983813,336.99575806
0.0490730628,8.99583912,17.5,0.1041983813,336.99087524
0.0490730628,10.24188042,17.5,0.1041983813,336.99087524
0.0490730628,8.6746006,17.5,0.1041983813,336.98599243
0.1746905148,8.56702709,18,0.1041983813,336.94204712
0.1746905148,8.56033707,18,0.1041983813,336.93716431
0.263577491,8.574687,18,0.1041983813,336.94692993
0.303780973,8.59765816,17.500217438,0.1041983813,336.96157837
0.303780973,8.59004307,17.634983063,0.1041983813,336.95669556
0.303780973,8.58235645,17.9897995,0.1041983813,336.95181274
0.0973751023,8.46834183,17.49489975,0.104200542,337.04177856
0.303780973,8.61888313,17.500217438,0.1042089164,336.96157837
0.263577491,8.57468891,18,0.1042120382,336.94204712
0.2324093878,9.43744373,17.5,0.1042125523,337.06906128
0.0973751023,8.48905277,17.5,0.1042208597,337.03833008
0.0490730628,8.84867859,17.5,0.104221113,336.98110962
0.1746905148,8.77324295,18,0.1042247862,336.93289185
0.1746905148,9.63785172,18,0.1042256355,336.93289185
0.0973751023,8.55781078,17.5,0.1042264104,337.02798462
0.0973751023,8.54994202,17.5,0.1042264104,337.02798462
0.296990335,8.63649845,17.5,0.1042806506,336.96646118
0.1746905148,8.56218719,18,0.1043475792,336.93228149
0.0338461548,8.49537945,16.745008469,0.1043619439,386.44094849
0.078328982,8.59741783,17,0.1043619439,386.41653442
0.078328982,8.61786842,17,0.1043619439,386.41165161
0.078328982,8.63831997,17,0.1043619439,386.4067688
0.2047293037,8.51523876,16.989583969,0.1043619439,386.43606567
0.2047293037,8.53549576,17,0.1043619439,386.43118286
0.2047293037,8.55610561,17,0.1043619439,386.42630005
0.2047293037,8.57681465,17,0.1043619439,386.42141724
0.2860892415,8.47573757,16.505208969,0.1043619439,386.4458313
0.0842975229,9.13324928,16.865016937,0.1043804586,382.43063354
0.0842975229,9.13887119,16.999782562,0.1043804586,382.42575073
0.2047293037,8.55888081,16.75,0.1043820679,386.43606567
0.2047293037,8.56926918,16.989583969,0.1043820679,386.43118286
0.2047293037,8.57979774,17,0.1043820679,386.42630005
0.2047293037,8.59106541,17,0.1043820679,386.42141724
0.2047293037,8.60430717,17,0.1043820679,386.41653442
0.2958351076,8.54848862,16.510416031,0.1043820679,386.44094849
0.2860892415,8.4563942,16.5,0.1043923274,386.45071411
0.1466213316,8.1470871,17.5,0.104410857,337.07849121
0.1466213316,8.15426826,17.5,0.104410857,337.08337402
0.1466213316,8.18055248,17.5,0.104410857,337.07849121
0.1466213316,8.20658398,17.5,0.104410857,337.0736084
0.1890547276,8.17064285,17.5,0.104410857,337.0736084
0.1890547276,8.19382381,17.5,0.104410857,337.06872559
0.1890547276,8.21728039,17.5,0.104410857,337.06384277
0.1890547276,8.23264885,17.5,0.104410857,337.06872559
0.2098092586,8.24114037,17.5,0.104410857,337.05895996
0.2098092586,8.25915241,17.5,0.104410857,337.06384277
0.2098092586,8.26558304,17.5,0.104410857,337.05407715
0.2098092586,8.28659725,17.5,0.104410857,337.05895996
0.2098092586,8.29095268,17.5,0.104410857,337.04919434
0.2098092586,8.31574059,17.5,0.104410857,337.05407715
0.2098092586,8.31919765,17.5,0.104410857,337.04431152
0.2098092586,8.35214615,17.5,0.104410857,337.04919434
0.2098092586,8.35519886,17.5,0.104410857,337.03942871
0.2098092586,8.41664219,17.5,0.104410857,337.04431152
0.2319290489,8.40643692,17.5,0.104410857,337.0345459
0.2319290489,8.51349163,17.5,0.104410857,337.03942871
0.1466213316,8.12723541,17.5,0.104451716,337.08825684
0.296990335,8.71184635,17.5,0.1044739261,336.97622681
0.2324093878,9.44462299,17.5,0.1044753045,337.07250977
0.296990335,8.66252518,17.5,0.1044943854,336.97134399
0.1347222179,9.07296085,16.8647995,0.104521364,382.43063354
0.0490730628,8.64022923,17.5,0.1045418456,336.98110962
0.1164049804,9.39388657,17.5,0.104554005,382.29165649
0.0569105707,9.40363503,17.5,0.1045719385,382.29879761
0.1164049804,9.37714958,17.5,0.1046186462,382.29510498
